Date,HomeTeam,AwayTeam,Played Value H,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2017-04-15,Southampton,Manchester City,,,,,,,,,,,,,,,,,,,,,0,3,A,0,0,D,N Swarbrick,8,18,1,5,9,8,3,8,3,0,0,0,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Steven Davis,James Ward-Prowse,Nathan Redmond,Dusan Tadic,Pierre-Emile Højbjerg,Manolo Gabbiadini,Claudio Bravo,Vincent Kompany,Jesús Navas,Gaël Clichy,Nicolás Otamendi,Kevin De Bruyne,Leroy Sané,David Silva,Fernandinho,Yaya Touré,Sergio Agüero
2017-04-15,Stoke City,Hull City,,,,,,,,,,,,,,,,,,,,,3,1,H,1,0,H,S Attwell,14,14,4,3,12,5,3,7,0,2,0,0,Lee Grant,Marc Muniesa,Bruno Martins Indi,Ryan Shawcross,Erik Pieters,Glen Johnson,Charlie Adam,Geoff Cameron,Marko Arnautovic,Saido Berahino,Xherdan Shaqiri,Eldin Jakupovic,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Michael Dawson,Tom Huddlestone,Alfred N'Diaye,Kamil Grosicki,Lazar Markovic,Sam Clucas,Oumar Niasse
2017-04-15,Sunderland,West Ham United,,,,,,,,,,,,,,,,,,,,,2,2,D,1,1,D,A Marriner,14,7,4,3,14,10,8,1,1,0,0,1,Jordan Pickford,Billy Jones,Jason Denayer,John O'Shea,Javier Manquillo,Lee Cattermole,Didier Ndong,Darron Gibson,Wahbi Khazri,Jermain Defoe,Victor Anichebe,Darren Randolph,José Fonte,James Collins,Sam Byram,Arthur Masuaku,Cheikhou Kouyaté,Robert Snodgrass,André Ayew,Manuel Lanzini,Edimilson Fernandes,Andy Carroll
2017-04-15,Tottenham Hotspur,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,4,0,H,2,0,H,M Oliver,24,5,14,1,8,10,13,1,0,1,0,0,Hugo Lloris,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Ben Davies,Son Heung-Min,Eric Dier,Mousa Dembélé,Dele Alli,Christian Eriksen,Harry Kane,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Junior Stanislas,Jack Wilshere,Benik Afobe,Joshua King
2017-04-15,Watford,Swansea City,,,,,,,,,,,,,,,,,,,,,1,0,H,1,0,H,L Mason,15,13,7,4,8,13,6,2,0,0,0,0,Heurelho Gomes,Daryl Janmaat,Sebastian Prödl,Adrian Mariappa,José Holebas,Tom Cleverley,Abdoulaye Doucouré,Etienne Capoue,Nordin Amrabat,Troy Deeney,M'Baye Niang,Lukasz Fabianski,Martin Olsson,Federico Fernández,Alfie Mawson,Kyle Naughton,Ki Sung-Yueng,Leroy Fer,Jay Fulton,Fernando Llorente,Luciano Narsingh,Gylfi Sigurdsson
2017-04-16,Manchester United,Chelsea,,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,R Madley,9,5,3,0,16,20,1,3,3,3,0,0,David de Gea,Eric Bailly,Marcos Rojo,Matteo Darmian,Paul Pogba,Ashley Young,Ander Herrera,Luis Antonio Valencia,Marouane Fellaini,Marcus Rashford,Jesse Lingard,Asmir Begovic,Kurt Zouma,Gary Cahill,David Luiz,N'Golo Kanté,Victor Moses,Nemanja Matic,César Azpilicueta,Eden Hazard,Pedro,Diego Costa
2017-04-16,West Bromwich Albion,Liverpool,,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,J Moss,7,15,2,2,15,9,4,4,3,1,0,0,Ben Foster,Jonny Evans,Chris Brunt,Gareth McAuley,Craig Dawson,Claudio Yacob,Jake Livermore,Darren Fletcher,Hal Robson-Kanu,Matt Phillips,Nacer Chadli,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,James Milner,Joel Matip,Georginio Wijnaldum,Lucas Leiva,Emre Can,Philippe Coutinho,Roberto Firmino,Divock Origi
2017-04-17,Middlesbrough,Arsenal,,,,,,,,,,,,,,,,,,,,,1,2,A,0,1,A,A Taylor,13,12,5,4,11,16,2,4,2,2,0,0,Brad Guzan,Fabio,Daniel Ayala,Ben Gibson,Antonio Barragán,Grant Leadbitter,Adam Clayton,Marten de Roon,Gastón Ramírez,Álvaro Negredo,Stewart Downing,Petr Cech,Gabriel Paulista,Laurent Koscielny,Rob Holding,Aaron Ramsey,Alex Oxlade-Chamberlain,Nacho Monreal,Granit Xhaka,Alexis Sánchez,Mesut Özil,Olivier Giroud
2017-04-22,AFC Bournemouth,Middlesbrough,,,,,,,,,,,,,,,,,,,,,4,0,H,2,0,H,G Scott,20,5,10,2,4,14,4,3,0,2,0,1,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Dan Gosling,Marc Pugh,Harry Arter,Ryan Fraser,Benik Afobe,Joshua King,Brad Guzan,George Friend,Daniel Ayala,Ben Gibson,Antonio Barragán,Calum Chambers,Gastón Ramírez,Adam Clayton,Marten de Roon,Stewart Downing,Álvaro Negredo
2017-04-22,Hull City,Watford,,,,,,,,,,,,,,,,,,,,,2,0,H,0,0,D,R Madley,8,13,3,2,10,11,4,7,3,1,1,0,Eldin Jakupovic,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Ahmed El Mohamady,Evandro,Alfred N'Diaye,Kamil Grosicki,Sam Clucas,Lazar Markovic,Oumar Niasse,Heurelho Gomes,Daryl Janmaat,Miguel Britos,Sebastian Prödl,José Holebas,Nordin Amrabat,Tom Cleverley,Abdoulaye Doucouré,M'Baye Niang,Etienne Capoue,Troy Deeney
