Date,HomeTeam,AwayTeam,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2019-01-13,Tottenham Hotspur,Manchester United,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,M Dean,21,13,11,8,8,8,7,4,1,2,0,0,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Jan Vertonghen,Ben Davies,Harry Winks,Moussa Sissoko,Dele Alli,Christian Eriksen,Son Heung-Min,Harry Kane,David de Gea,Victor Lindelöf,Phil Jones,Ashley Young,Luke Shaw,Paul Pogba,Jesse Lingard,Ander Herrera,Nemanja Matic,Anthony Martial,Marcus Rashford
2019-01-14,Manchester City,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,3,0,H,2,0,H,C Pawson,24,3,9,0,6,3,12,1,1,0,0,1,Ederson,Kyle Walker,Danilo,John Stones,Aymeric Laporte,Bernardo Silva,David Silva,Fernandinho,Raheem Sterling,Gabriel Jesus,Leroy Sané,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Leander Dendoncker,Raúl Jiménez,Diogo Jota
2019-01-19,Arsenal,Chelsea,,,,,,,,,,,,,,,,,,,,2,0,H,2,0,H,A Taylor,13,13,5,1,13,15,5,6,0,2,0,0,Bernd Leno,Héctor Bellerín,Sokratis,Laurent Koscielny,Sead Kolasinac,Aaron Ramsey,Lucas Torreira,Matteo Guendouzi,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Eden Hazard,Willian,Pedro
2019-01-19,AFC Bournemouth,West Ham United,,,,,,,,,,,,,,,,,,,,2,0,H,0,0,D,S Hooper,10,9,4,1,6,10,2,3,0,1,0,0,Artur Boruc,Steve Cook,Nathan Aké,Adam Smith,Nathaniel Clyne,Dan Gosling,David Brooks,Jefferson Lerma,Ryan Fraser,Callum Wilson,Joshua King,Lukasz Fabianski,Aaron Cresswell,Pablo Zabaleta,Angelo Ogbonna,Issa Diop,Felipe Anderson,Mark Noble,Samir Nasri,Michail Antonio,Declan Rice,Andy Carroll
2019-01-19,Liverpool,Crystal Palace,,,,,,,,,,,,,,,,,,,,4,3,H,0,1,A,J Moss,19,9,9,3,6,8,8,3,0,1,1,0,Alisson,Virgil van Dijk,James Milner,Andrew Robertson,Joel Matip,Fabinho,Naby Keita,Roberto Firmino,Sadio Mané,Jordan Henderson,Mohamed Salah,Julian Speroni,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Cheikhou Kouyaté,Andros Townsend,Wilfried Zaha,James McArthur,Jordan Ayew
2019-01-19,Manchester United,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,2,1,H,2,0,H,P Tierney,20,7,5,3,11,11,6,5,1,0,0,0,David de Gea,Victor Lindelöf,Phil Jones,Ashley Young,Diogo Dalot,Paul Pogba,Ander Herrera,Nemanja Matic,Anthony Martial,Marcus Rashford,Jesse Lingard,David Button,Gaëtan Bong,Shane Duffy,Lewis Dunk,Martín Montoya,Dale Stephens,Jürgen Locadia,Pascal Groß,Solly March,Davy Pröpper,Glenn Murray
2019-01-19,Newcastle United,Cardiff City,,,,,,,,,,,,,,,,,,,,3,0,H,1,0,H,S Attwell,16,9,6,1,11,6,7,10,0,1,0,0,Martin Dubravka,Fabian Schär,Jamaal Lascelles,Matt Ritchie,Florian Lejeune,DeAndre Yedlin,Isaac Hayden,Ayoze Pérez,Christian Atsu,Sean Longstaff,Salomón Rondón,Neil Etheridge,Lee Peltier,Joe Bennett,Bruno Ecuele Manga,Sol Bamba,Joe Ralls,Nathaniel Mendez-Laing,Víctor Camarasa,David Junior Hoilett,Callum Paterson,Oumar Niasse
2019-01-19,Southampton,Everton,,,,,,,,,,,,,,,,,,,,2,1,H,0,0,D,G Scott,11,7,4,2,12,11,7,6,2,1,0,0,Alex McCarthy,Jannik Vestergaard,Jack Stephens,Jan Bednarek,Oriol Romeu,James Ward-Prowse,Yan Valery,Pierre-Emile Højbjerg,Matt Targett,Danny Ings,Nathan Redmond,Jordan Pickford,Kurt Zouma,Michael Keane,Lucas Digne,Séamus Coleman,André Gomes,Gylfi Sigurdsson,Idrissa Gueye,Bernard,Ademola Lookman,Richarlison
2019-01-19,Watford,Burnley,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,M Oliver,9,11,4,3,14,9,1,7,1,2,0,0,Ben Foster,Adrian Mariappa,Kiko Femenía,José Holebas,Christian Kabasele,Tom Cleverley,Ken Sema,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Troy Deeney,Tom Heaton,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Jack Cork,Jeff Hendrick,Ashley Westwood,Dwight McNeil,Chris Wood,Ashley Barnes
2019-01-19,Wolverhampton Wanderers,Leicester City,,,,,,,,,,,,,,,,,,,,4,3,H,2,0,H,C Kavanagh,12,16,7,6,11,10,5,9,3,3,0,0,Rui Patrício,Ryan Bennett,Conor Coady,Romain Saïss,Rúben Neves,Jonny,João Moutinho,Rúben Vinagre,Leander Dendoncker,Raúl Jiménez,Diogo Jota,Kasper Schmeichel,Danny Simpson,Ben Chilwell,Wes Morgan,Harry Maguire,Demarai Gray,Ricardo Pereira,Nampalys Mendy,Wilfred Ndidi,Harvey Barnes,Jamie Vardy
2019-01-20,Fulham,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,1,2,A,1,0,H,C Pawson,12,14,4,5,10,8,7,10,2,3,0,0,Sergio Rico,Denis Odoi,Tim Ream,Maxime Le Marchand,Calum Chambers,Cyrus Christie,Joe Bryan,Jean Michael Seri,Aleksandar Mitrovic,Ryan Babel,André Schürrle,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Davinson Sánchez,Kieran Trippier,Danny Rose,Harry Winks,Christian Eriksen,Erik Lamela,Fernando Llorente,Dele Alli
2019-01-20,Huddersfield Town,Manchester City,,,,,,,,,,,,,,,,,,,,0,3,A,0,1,A,A Marriner,5,12,2,4,10,9,1,4,2,2,0,0,Jonas Lössl,Tommy Smith,Terence Kongolo,Chris Löwe,Christopher Schindler,Jonathan Hogg,Juninho Bacuna,Elias Kachunga,Isaac Mbenza,Jason Puncheon,Adama Diakhaby,Ederson,Kyle Walker,Danilo,Aymeric Laporte,Nicolás Otamendi,Ilkay Gündogan,Kevin De Bruyne,Fernandinho,Raheem Sterling,Sergio Agüero,Leroy Sané
2019-01-29,Arsenal,Cardiff City,,,,,,,,,,,,,,,,,,,,2,1,H,0,0,D,M Dean,15,19,4,2,14,12,4,7,3,3,0,0,Bernd Leno,Stephan Lichtsteiner,Nacho Monreal,Shkodran Mustafi,Sead Kolasinac,Mohamed Elneny,Mesut Özil,Lucas Torreira,Matteo Guendouzi,Alexandre Lacazette,Pierre-Emerick Aubameyang,Neil Etheridge,Lee Peltier,Bruno Ecuele Manga,Sol Bamba,Joe Bennett,Harry Arter,Joe Ralls,Callum Paterson,Aron Gunnarsson,Bobby De Cordova-Reid,Oumar Niasse
2019-01-29,Fulham,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,4,2,H,0,2,A,L Probert,24,15,7,6,10,5,10,1,2,3,0,0,Sergio Rico,Denis Odoi,Tim Ream,Maxime Le Marchand,Calum Chambers,Cyrus Christie,Joe Bryan,Jean Michael Seri,Aleksandar Mitrovic,Ryan Babel,André Schürrle,Mat Ryan,Gaëtan Bong,Shane Duffy,Lewis Dunk,Martín Montoya,Dale Stephens,Pascal Groß,Davy Pröpper,Jürgen Locadia,Glenn Murray,Solly March
2019-01-29,Huddersfield Town,Everton,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,S Attwell,10,10,2,5,13,10,3,4,1,4,0,1,Jonas Lössl,Terence Kongolo,Zanka,Christopher Schindler,Florent Hadergjonaj,Jonathan Hogg,Juninho Bacuna,Jason Puncheon,Elias Kachunga,Steve Mounie,Adama Diakhaby,Jordan Pickford,Leighton Baines,Michael Keane,Kurt Zouma,Séamus Coleman,Richarlison,André Gomes,Gylfi Sigurdsson,Bernard,Tom Davies,Cenk Tosun
2019-01-29,Manchester United,Burnley,,,,,,,,,,,,,,,,,,,,2,2,D,0,0,D,J Moss,28,6,9,4,10,9,11,3,1,3,0,0,David de Gea,Victor Lindelöf,Phil Jones,Ashley Young,Luke Shaw,Paul Pogba,Juan Mata,Marcus Rashford,Andreas Pereira,Nemanja Matic,Romelu Lukaku,Tom Heaton,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Jack Cork,Jeff Hendrick,Ashley Westwood,Dwight McNeil,Chris Wood,Ashley Barnes
2019-01-29,Newcastle United,Manchester City,,,,,,,,,,,,,,,,,,,,2,1,H,0,1,A,P Tierney,6,12,2,4,9,7,1,8,2,3,0,0,Martin Dubravka,Fabian Schär,Jamaal Lascelles,Matt Ritchie,Florian Lejeune,DeAndre Yedlin,Isaac Hayden,Ayoze Pérez,Christian Atsu,Sean Longstaff,Salomón Rondón,Ederson,Kyle Walker,Danilo,John Stones,Aymeric Laporte,Kevin De Bruyne,David Silva,Fernandinho,Raheem Sterling,Sergio Agüero,Leroy Sané
2019-01-29,Wolverhampton Wanderers,West Ham United,,,,,,,,,,,,,,,,,,,,3,0,H,0,0,D,D Coote,20,4,9,0,8,10,5,1,4,1,0,0,Rui Patrício,Ryan Bennett,Conor Coady,Romain Saïss,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Leander Dendoncker,Raúl Jiménez,Diogo Jota,Lukasz Fabianski,Pablo Zabaleta,Angelo Ogbonna,Issa Diop,Arthur Masuaku,Felipe Anderson,Robert Snodgrass,Mark Noble,Declan Rice,Marko Arnautovic,Michail Antonio
2019-01-30,AFC Bournemouth,Chelsea,,,,,,,,,,,,,,,,,,,,4,0,H,0,0,D,R East,12,11,7,7,8,6,3,7,1,0,0,0,Artur Boruc,Steve Cook,Nathan Aké,Adam Smith,Nathaniel Clyne,Dan Gosling,Andrew Surman,Junior Stanislas,Ryan Fraser,David Brooks,Joshua King,Kepa Arrizabalaga,Antonio Rüdiger,César Azpilicueta,David Luiz,Emerson,Jorginho,N'Golo Kanté,Mateo Kovacic,Gonzalo Higuaín,Eden Hazard,Pedro
2019-01-30,Liverpool,Leicester City,,,,,,,,,,,,,,,,,,,,1,1,D,1,1,D,M Atkinson,10,5,3,2,13,6,7,1,1,3,0,0,Alisson,Virgil van Dijk,Jordan Henderson,Andrew Robertson,Joel Matip,Georginio Wijnaldum,Naby Keita,Roberto Firmino,Sadio Mané,Xherdan Shaqiri,Mohamed Salah,Kasper Schmeichel,Ben Chilwell,Jonny Evans,Harry Maguire,Ricardo Pereira,Demarai Gray,James Maddison,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy,Marc Albrighton
2019-01-30,Southampton,Crystal Palace,,,,,,,,,,,,,,,,,,,,1,1,D,0,1,A,A Marriner,13,15,4,3,11,8,3,8,2,2,0,1,Alex McCarthy,Jannik Vestergaard,Jack Stephens,Jan Bednarek,Oriol Romeu,James Ward-Prowse,Yan Valery,Pierre-Emile Højbjerg,Matt Targett,Danny Ings,Nathan Redmond,Vicente Guaita,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Cheikhou Kouyaté,James McArthur,Andros Townsend,Wilfried Zaha,Jordan Ayew
2019-01-30,Tottenham Hotspur,Watford,,,,,,,,,,,,,,,,,,,,2,1,H,0,1,A,G Scott,17,9,3,1,6,9,9,5,0,4,0,0,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Davinson Sánchez,Danny Rose,Harry Winks,Moussa Sissoko,Christian Eriksen,Serge Aurier,Son Heung-Min,Fernando Llorente,Ben Foster,Daryl Janmaat,Adrian Mariappa,Craig Cathcart,José Holebas,Tom Cleverley,Will Hughes,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Troy Deeney
2019-02-02,Brighton and Hove Albion,Watford,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,S Hooper,21,5,4,0,15,10,7,0,1,0,0,0,Mat Ryan,Gaëtan Bong,Shane Duffy,Lewis Dunk,Martín Montoya,Yves Bissouma,Pascal Groß,Davy Pröpper,Jürgen Locadia,Glenn Murray,Solly March,Ben Foster,Daryl Janmaat,Adrian Mariappa,Craig Cathcart,José Holebas,Tom Cleverley,Ken Sema,Will Hughes,Etienne Capoue,Gerard Deulofeu,Troy Deeney
2019-02-02,Burnley,Southampton,,,,,,,,,,,,,,,,,,,,1,1,D,0,0,D,A Taylor,15,10,6,4,10,9,4,2,3,1,0,0,Tom Heaton,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Jack Cork,Jeff Hendrick,Ashley Westwood,Dwight McNeil,Chris Wood,Ashley Barnes,Alex McCarthy,Jannik Vestergaard,Jack Stephens,Jan Bednarek,Oriol Romeu,James Ward-Prowse,Stuart Armstrong,Callum Slattery,Matt Targett,Danny Ings,Nathan Redmond
2019-02-02,Cardiff City,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,J Moss,12,9,5,2,17,14,6,7,1,2,0,0,Neil Etheridge,Lee Peltier,Joe Bennett,Bruno Ecuele Manga,Sol Bamba,Joe Ralls,Josh Murphy,Callum Paterson,Bobby De Cordova-Reid,Aron Gunnarsson,Oumar Niasse,Artur Boruc,Steve Cook,Nathan Aké,Adam Smith,Nathaniel Clyne,Dan Gosling,Andrew Surman,Junior Stanislas,Ryan Fraser,Dominic Solanke,Joshua King
2019-02-02,Chelsea,Huddersfield Town,,,,,,,,,,,,,,,,,,,,5,0,H,2,0,H,P Tierney,23,5,7,2,8,5,11,2,0,0,0,0,Kepa Arrizabalaga,Marcos Alonso,Andreas Christensen,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Ross Barkley,Gonzalo Higuaín,Willian,Eden Hazard,Jonas Lössl,Tommy Smith,Terence Kongolo,Chris Löwe,Christopher Schindler,Juninho Bacuna,Philip Billing,Aaron Mooy,Elias Kachunga,Adama Diakhaby,Isaac Mbenza
2019-02-02,Crystal Palace,Fulham,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,M Oliver,17,8,6,0,9,12,11,1,2,3,0,0,Vicente Guaita,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Andros Townsend,Jeffrey Schlupp,James McArthur,Jordan Ayew,Christian Benteke,Sergio Rico,Denis Odoi,Tim Ream,Maxime Le Marchand,Calum Chambers,Cyrus Christie,Joe Bryan,Jean Michael Seri,Aleksandar Mitrovic,Tom Cairney,Ryan Babel
2019-02-02,Everton,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,1,3,A,1,2,A,L Mason,13,8,4,4,12,14,3,1,3,1,0,0,Jordan Pickford,Leighton Baines,Michael Keane,Kurt Zouma,Séamus Coleman,Richarlison,André Gomes,Gylfi Sigurdsson,Theo Walcott,Tom Davies,Cenk Tosun,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Leander Dendoncker,Raúl Jiménez,Diogo Jota
2019-02-02,Tottenham Hotspur,Newcastle United,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,A Marriner,21,8,4,2,6,6,6,3,0,1,0,0,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Jan Vertonghen,Davinson Sánchez,Son Heung-Min,Harry Winks,Erik Lamela,Moussa Sissoko,Christian Eriksen,Lucas Moura,Martin Dubravka,Fabian Schär,Jamaal Lascelles,Matt Ritchie,Florian Lejeune,DeAndre Yedlin,Isaac Hayden,Ayoze Pérez,Christian Atsu,Sean Longstaff,Salomón Rondón
2019-02-03,Leicester City,Manchester United,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,M Dean,17,10,6,6,14,9,7,2,4,4,0,0,Kasper Schmeichel,Ben Chilwell,Jonny Evans,Harry Maguire,Ricardo Pereira,Demarai Gray,James Maddison,Nampalys Mendy,Wilfred Ndidi,Harvey Barnes,Jamie Vardy,David de Gea,Victor Lindelöf,Eric Bailly,Ashley Young,Luke Shaw,Paul Pogba,Jesse Lingard,Ander Herrera,Nemanja Matic,Alexis Sánchez,Marcus Rashford
2019-02-03,Manchester City,Arsenal,,,,,,,,,,,,,,,,,,,,3,1,H,2,1,H,M Atkinson,19,4,12,2,11,8,4,2,1,1,0,0,Ederson,Kyle Walker,Aymeric Laporte,Fernandinho,Nicolás Otamendi,Ilkay Gündogan,Kevin De Bruyne,David Silva,Raheem Sterling,Sergio Agüero,Bernardo Silva,Bernd Leno,Laurent Koscielny,Stephan Lichtsteiner,Nacho Monreal,Shkodran Mustafi,Lucas Torreira,Alex Iwobi,Matteo Guendouzi,Sead Kolasinac,Alexandre Lacazette,Pierre-Emerick Aubameyang
2019-02-04,West Ham United,Liverpool,,,,,,,,,,,,,,,,,,,,1,1,D,1,1,D,K Friend,13,11,2,6,9,11,2,5,1,1,0,0,Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Ryan Fredericks,Felipe Anderson,Robert Snodgrass,Mark Noble,Michail Antonio,Declan Rice,Chicharito,Alisson,Virgil van Dijk,James Milner,Andrew Robertson,Joel Matip,Fabinho,Naby Keita,Adam Lallana,Roberto Firmino,Sadio Mané,Mohamed Salah
2019-02-06,Everton,Manchester City,,,,,,,,,,,,,,,,,,,,0,2,A,0,1,A,C Pawson,4,15,1,4,12,6,5,6,1,1,0,0,Jordan Pickford,Kurt Zouma,Michael Keane,Lucas Digne,Jonjoe Kenny,André Gomes,Theo Walcott,Idrissa Gueye,Bernard,Tom Davies,Dominic Calvert-Lewin,Ederson,Kyle Walker,John Stones,Aymeric Laporte,Nicolás Otamendi,Ilkay Gündogan,David Silva,Fernandinho,Sergio Agüero,Leroy Sané,Bernardo Silva
2019-02-09,Brighton and Hove Albion,Burnley,,,,,,,,,,,,,,,,,,,,1,3,A,0,1,A,S Attwell,16,9,6,5,8,7,9,3,1,1,0,0,Mat Ryan,Gaëtan Bong,Shane Duffy,Lewis Dunk,Martín Montoya,Dale Stephens,Pascal Groß,Davy Pröpper,Jürgen Locadia,Glenn Murray,Solly March,Tom Heaton,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Jack Cork,Jeff Hendrick,Ashley Westwood,Dwight McNeil,Chris Wood,Ashley Barnes
2019-02-09,Crystal Palace,West Ham United,,,,,,,,,,,,,,,,,,,,1,1,D,0,1,A,C Pawson,25,6,5,4,12,9,10,4,3,0,0,0,Vicente Guaita,Patrick van Aanholt,Mamadou Sakho,Aaron Wan-Bissaka,Martin Kelly,Luka Milivojevic,Jeffrey Schlupp,James McArthur,Andros Townsend,Wilfried Zaha,Christian Benteke,Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Ryan Fredericks,Felipe Anderson,Robert Snodgrass,Mark Noble,Michail Antonio,Declan Rice,Chicharito
2019-02-09,Fulham,Manchester United,,,,,,,,,,,,,,,,,,,,0,3,A,0,2,A,P Tierney,15,15,3,7,14,9,5,4,3,2,0,0,Sergio Rico,Denis Odoi,Tim Ream,Maxime Le Marchand,Joe Bryan,Calum Chambers,Ryan Babel,André Schürrle,Luciano Vietto,Jean Michael Seri,Aleksandar Mitrovic,David de Gea,Phil Jones,Chris Smalling,Diogo Dalot,Luke Shaw,Paul Pogba,Ander Herrera,Nemanja Matic,Juan Mata,Romelu Lukaku,Anthony Martial
2019-02-09,Huddersfield Town,Arsenal,,,,,,,,,,,,,,,,,,,,1,2,A,0,2,A,J Moss,15,9,6,4,17,12,5,0,3,2,0,0,Ben Hamer,Tommy Smith,Terence Kongolo,Zanka,Christopher Schindler,Jonathan Hogg,Juninho Bacuna,Aaron Mooy,Jason Puncheon,Elias Kachunga,Adama Diakhaby,Bernd Leno,Laurent Koscielny,Nacho Monreal,Shkodran Mustafi,Lucas Torreira,Ainsley Maitland-Niles,Matteo Guendouzi,Sead Kolasinac,Henrikh Mkhitaryan,Alexandre Lacazette,Alex Iwobi
2019-02-09,Liverpool,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,3,0,H,2,0,H,A Taylor,20,12,9,2,14,6,8,5,2,2,0,0,Alisson,Virgil van Dijk,James Milner,Andrew Robertson,Joel Matip,Fabinho,Georginio Wijnaldum,Naby Keita,Roberto Firmino,Sadio Mané,Mohamed Salah,Artur Boruc,Steve Cook,Nathan Aké,Adam Smith,Diego Rico,Dan Gosling,Andrew Surman,Jefferson Lerma,Jordon Ibe,Ryan Fraser,Joshua King
2019-02-09,Southampton,Cardiff City,,,,,,,,,,,,,,,,,,,,1,2,A,0,0,D,M Atkinson,14,6,7,3,15,12,8,2,3,3,0,0,Alex McCarthy,Jannik Vestergaard,Jack Stephens,Jan Bednarek,Oriol Romeu,James Ward-Prowse,Yan Valery,Ryan Bertrand,Pierre-Emile Højbjerg,Shane Long,Nathan Redmond,Neil Etheridge,Lee Peltier,Bruno Ecuele Manga,Sol Bamba,Joe Bennett,Joe Ralls,Callum Paterson,Aron Gunnarsson,Harry Arter,Bobby De Cordova-Reid,Oumar Niasse
2019-02-09,Watford,Everton,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,L Probert,7,9,2,4,21,10,8,2,2,0,0,1,Ben Foster,Daryl Janmaat,Adrian Mariappa,Craig Cathcart,José Holebas,Ken Sema,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Gerard Deulofeu,Troy Deeney,Jordan Pickford,Kurt Zouma,Michael Keane,Lucas Digne,Jonjoe Kenny,Richarlison,André Gomes,Gylfi Sigurdsson,Idrissa Gueye,Tom Davies,Cenk Tosun
2019-02-10,Manchester City,Chelsea,,,,,,,,,,,,,,,,,,,,6,0,H,4,0,H,M Dean,15,12,9,4,9,13,2,2,1,2,0,0,Ederson,Kyle Walker,John Stones,Oleksandr Zinchenko,Aymeric Laporte,Ilkay Gündogan,Kevin De Bruyne,Fernandinho,Raheem Sterling,Sergio Agüero,Bernardo Silva,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Ross Barkley,Gonzalo Higuaín,Eden Hazard,Pedro
2019-02-10,Tottenham Hotspur,Leicester City,,,,,,,,,,,,,,,,,,,,3,1,H,1,0,H,M Oliver,12,20,5,9,11,4,2,9,3,1,0,0,Hugo Lloris,Kieran Trippier,Danny Rose,Jan Vertonghen,Davinson Sánchez,Harry Winks,Moussa Sissoko,Christian Eriksen,Oliver Skipp,Son Heung-Min,Fernando Llorente,Kasper Schmeichel,Ben Chilwell,Jonny Evans,Harry Maguire,Ricardo Pereira,James Maddison,Youri Tielemans,Wilfred Ndidi,Rachid Ghezzal,Harvey Barnes,Demarai Gray
2019-02-11,Wolverhampton Wanderers,Newcastle United,,,,,,,,,,,,,,,,,,,,1,1,D,0,0,D,G Scott,22,9,6,3,7,9,13,1,1,3,0,0,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Leander Dendoncker,Raúl Jiménez,Diogo Jota,Martin Dubravka,Fabian Schär,Jamaal Lascelles,Florian Lejeune,Matt Ritchie,Isaac Hayden,DeAndre Yedlin,Christian Atsu,Sean Longstaff,Salomón Rondón,Ayoze Pérez
2019-02-22,Cardiff City,Watford,,,,,,,,,,,,,,,,,,,,1,5,A,0,1,A,S Hooper,15,12,6,7,10,11,3,3,1,2,0,0,Neil Etheridge,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Joe Bennett,Leandro Bacuna,Harry Arter,Joe Ralls,Josh Murphy,Callum Paterson,Oumar Niasse,Ben Foster,Daryl Janmaat,Adrian Mariappa,Adam Masina,Craig Cathcart,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Troy Deeney
2019-02-22,West Ham United,Fulham,,,,,,,,,,,,,,,,,,,,3,1,H,2,1,H,L Mason,21,8,7,5,11,11,12,0,1,1,0,0,Lukasz Fabianski,Aaron Cresswell,Pablo Zabaleta,Angelo Ogbonna,Issa Diop,Felipe Anderson,Robert Snodgrass,Mark Noble,Michail Antonio,Declan Rice,Chicharito,Sergio Rico,Denis Odoi,Tim Ream,Håvard Nordtveit,Joe Bryan,Ryan Sessegnon,Calum Chambers,Tom Cairney,Jean Michael Seri,Aleksandar Mitrovic,Ryan Babel
2019-02-23,AFC Bournemouth,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,1,1,D,1,0,H,R East,10,10,3,2,10,15,9,8,4,5,0,0,Artur Boruc,Nathan Aké,Chris Mepham,Adam Smith,Nathaniel Clyne,Dan Gosling,Jefferson Lerma,Jordon Ibe,Ryan Fraser,Dominic Solanke,Joshua King,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Leander Dendoncker,Raúl Jiménez,Diogo Jota
2019-02-23,Burnley,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,2,1,H,0,0,D,M Dean,10,17,4,6,9,12,7,6,1,3,0,0,Tom Heaton,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Jack Cork,Jeff Hendrick,Ashley Westwood,Dwight McNeil,Chris Wood,Ashley Barnes,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Juan Foyth,Danny Rose,Harry Winks,Moussa Sissoko,Christian Eriksen,Serge Aurier,Son Heung-Min,Harry Kane
2019-02-23,Leicester City,Crystal Palace,,,,,,,,,,,,,,,,,,,,1,4,A,0,1,A,A Taylor,27,7,5,5,7,14,8,3,2,1,0,0,Kasper Schmeichel,Jonny Evans,Harry Maguire,Ricardo Pereira,Christian Fuchs,James Maddison,Youri Tielemans,Wilfred Ndidi,Jamie Vardy,Rachid Ghezzal,Harvey Barnes,Vicente Guaita,Joel Ward,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Luka Milivojevic,Jeffrey Schlupp,James McArthur,Andros Townsend,Wilfried Zaha,Michy Batshuayi
2019-02-23,Newcastle United,Huddersfield Town,,,,,,,,,,,,,,,,,,,,2,0,H,0,0,D,K Friend,29,3,12,1,11,7,12,0,2,0,0,1,Martin Dubravka,Fabian Schär,Jamaal Lascelles,Matt Ritchie,Florian Lejeune,DeAndre Yedlin,Isaac Hayden,Ayoze Pérez,Miguel Almirón,Sean Longstaff,Salomón Rondón,Jonas Lössl,Tommy Smith,Chris Löwe,Zanka,Christopher Schindler,Jonathan Hogg,Juninho Bacuna,Aaron Mooy,Jason Puncheon,Elias Kachunga,Laurent Depoitre
